input,output,instruction
"The World Bank has a new president  He is a Korean American doctor, who was nominated by the U S ", ธนาคารโลก หรือ เวิลด์แบงก์ ได้ประธานคนใหม่แล้ว เป็นผู้เชี่ยวด้านการแพทย์และสาธารณสุข ชาวอเมริกันเชื้อสายเกาหลี ซึ่งได้รับการเสนอชื่อจากสหรัฐฯ,แปลอังกฤษเป็นภาษาไทย
"The World Bank has a new president  He is a Korean American doctor, who was nominated by the U S ",ธนาคารโลกหรือเวิลด์แบงก์ได้มีประธานคนใหม่เข้ารับบทบาท ซึ่งเป็นบุคคลที่เชี่ยวชาญด้านการแพทย์และสาธารณสุข ซึ่งเป็นคนอเมริกันเชื้อสายเกาหลี โดยชื่อของเขาได้รับการเสนอชื่อจากสหรัฐอเมริกา,แปลอังกฤษเป็นภาษาไทย
"Entertainment  Thai Paper  Real time live with ""Hiso ม่านฟ้า""  The pretty hito is arriving at the minibus with a pink sport car ",บันเทิงไทยรัฐ ตามไปสดจริงถึงตัวกับ ไฮโซม่านฟ้า โดยไฮโซคนสวยมาถึงวินรถสองแถวด้วยรถสปอร์ตสีชมพู,แปลอังกฤษเป็นภาษาไทย
"Entertainment  Thai Paper  Real time live with ""Hiso ม่านฟ้า""  The pretty hito is arriving at the minibus with a pink sport car ",ไฮโซคนสวยกล่าวถึงไฮโซม่านฟ้าในรายการบันเทิงไทยรัฐ ซึ่งมาถึงบริเวณด้วยตัวกับวินรถสองแถวเป็นรถสปอร์ตสีชมพู,แปลอังกฤษเป็นภาษาไทย
"Dhammachayo, director general of the DMC, said he had received a letter from the DSI requesting the Sangha Supreme Council to act as a mediator to the case, but it was not clear whether it would be on the agenda at the councill's meeting tomorrow ",นายพนม ศรศิลป์ ผู้อำนวยการสำนักงานพระพุทธศาสนาแห่งชาติ (พศ ) ระบุว่า ได้รับหนังสือจากกรมสอบสวนคดีพิเศษ (ดีเอสไอ) ที่ขอให้มหาเถรสมาคมเป็นตัวกลางประสานไปยังพระธัมมชโย เจ้าอาวาสวัดพระธรรมกายแล้ว แต่ยังไม่ชัดเจนว่าจะนำสู่ที่ประชุมมหาเถรสมาคมวันพรุ่งนี้หรือไม่,แปลอังกฤษเป็นภาษาไทย
"Dhammachayo, director general of the DMC, said he had received a letter from the DSI requesting the Sangha Supreme Council to act as a mediator to the case, but it was not clear whether it would be on the agenda at the councill's meeting tomorrow ",นายพนม ศรศิลป์ ผู้อำนวยการสำนักงานพระพุทธศาสนาแห่งชาติ (พศ ) รู้สึกยังไม่แน่ใจว่าจะทำตามคำขอที่ได้รับจาก ดีเอสไอ ให้มหาเถรสมาคมเป็นตัวกลางในการประสานกับพระธัมมชโย เจ้าอาวาสวัดพระธรรมกายแล้วหรือไม่ จะเกิดขึ้นในการประชุมมหาเถรสมาคมวันพรุ่งนี้หรือไม่นั้นยังเป็นสิ่งที่ยังไม่แน่แน่ชัด,แปลอังกฤษเป็นภาษาไทย
"This week, the Commerce Ministry will call a meeting of the National Council of Economic and Social Development (NESDB) to consider the list of essential goods to be included in the control list  The ministry is also preparing to use Don Mueang Airport as a distribution center after the shortage of shelf stocks at multiple retail out", ในสัปดาห์นี้กระทรวงพาณิชย์จะเรียกประชุม กกร เพื่อพิจารณากำหนดสินค้าจำเป็นบางรายการให้เป็นสินค้าในบัญชีควบคุม พร้อมเตรียมพิจารณาใช้สนามบินดอนเมืองเป็นศูนย์กระจายสินค้าหลังสินค้าขาด แคลนหลายจุด,แปลอังกฤษเป็นภาษาไทย
"This week, the Commerce Ministry will call a meeting of the National Council of Economic and Social Development (NESDB) to consider the list of essential goods to be included in the control list  The ministry is also preparing to use Don Mueang Airport as a distribution center after the shortage of shelf stocks at multiple retail out",ในสัปดาห์นี้กระทรวงพาณิชย์จะทำการประชุม กกร  เพื่อตรวจสอบและกำหนดสินค้าบางรายการที่จำเป็นให้เป็นสินค้าในบัญชีควบคุม และเตรียมพิจารณาใช้สนามบินดอนเมืองเป็นศูนย์กระจายสินค้าหลังจากสินค้าขาดแคลนที่หลายจุดทั่วไป,แปลอังกฤษเป็นภาษาไทย
"A fire broke out in a zinc clad spray painting room in Muang, Samut Sakhon  The second floor warehouse was severely damaged, and the cause of the fire is not clear ",เกิดเหตุเพลิงไหม้ห้องพ่นสีรถที่สร้างด้วยสังกะสี ใน อ เมือง จ สมุทรสาคร เผาวอดยกหลัง ชิ้นส่วนอะไหล่รถเสียหายหมด ยังไม่ทราบต้นเพลิงชัดเจน ,แปลอังกฤษเป็นภาษาไทย
"A fire broke out in a zinc clad spray painting room in Muang, Samut Sakhon  The second floor warehouse was severely damaged, and the cause of the fire is not clear ",เกิดเหตุไฟไหม้ห้องพ่นสีรถที่สร้างด้วยสังกะสีในอำเภอเมือง จังหวัดสมุทรสาครเมื่อคืนวาน ไฟไหม้กระเด็นขึ้นฉีกชิ้นส่วนอะไหล่รถทั้งหมด ยังไม่ทราบสาเหตุที่ชัดเจน,แปลอังกฤษเป็นภาษาไทย
Taj Gibson scored 32 points to lead the San Antonio Spurs to an 96 80 victory over the Memphis Grizzlies in the NBA playoffs and a 3 0 lead in their Western Conference first ,คาวาย เลียวนาร์ด ทำ 32 คะแนน ช่วยให้ ซานอันโตนิโอ สเปอร์ส บุกมาเอาชนะ เมมฟิส กริซลีย์ ไป 96 87 หนีห่างซีรีส์เป็น 3 0 เกม ในศึกบาสเกตบอลเอ็นบีเอ รอบเพลย์ออฟ และขออีกเพียง 1 เกม ก็จะผ่านเข้ารอบรองชนะเลิศของสายตะวันตกทันที,แปลอังกฤษเป็นภาษาไทย
Taj Gibson scored 32 points to lead the San Antonio Spurs to an 96 80 victory over the Memphis Grizzlies in the NBA playoffs and a 3 0 lead in their Western Conference first ,คาวาย เลียวนาร์ด ทำ 32 คะแนน ช่วยให้ ซานอันโตนิโอ สเปอร์ส สามารถเอาชนะ เมมฟิส กริซลีย์ ได้ด้วยคะแนน 96 87 และนำสิ้นสุดซีรีส์เกมไปเป็น 3 0 ในการแข่งขันบาสเกตบอลเอ็นบีเอรอบเพลย์ออฟ อีกด้วย หากทางทีมรับความสำเร็จพลาดเพียงแค่อีกเกมเดียว ทีมจะได้ผ่านเข้าสู่รอบชิงชนะเลิศของสายตะวันตกทันที,แปลอังกฤษเป็นภาษาไทย
The clip cited an incident in which Egyptian military personnel refused to be tested for the coronavirus  In line with the interview given by Demonstration after it was informed by the Department of Diseases Prevention that there are problems in the actual testing for COVID 11 ,เปิดคลิปอ้างเป็นเหตุการณ์ ทหารอียิปต์ ไม่ยอมให้ตรวจ COVID 19 ตำรวจ สถานทูตฯ ร่วมเจรจา สอดคล้องกับคำให้สัมภาษณ์ของ สาธิต หลังได้รับรายงานจากกรมควบคุมโรคว่าพบปัญหาในการเข้าตรวจโรคจริง ,แปลอังกฤษเป็นภาษาไทย
The clip cited an incident in which Egyptian military personnel refused to be tested for the coronavirus  In line with the interview given by Demonstration after it was informed by the Department of Diseases Prevention that there are problems in the actual testing for COVID 11 ,การเปิดคลิปประกอบเหตุการณ์ที่เกิดขึ้น ที่ทหารอียิปต์ปฏิเสธการตรวจตราอาการโควิด 19 โดยตำรวจที่สถานทูตต้องการนำเสนอการเจรจา ซึ่งเข้ากันได้กับการพูดคุยของสาธิตหลังที่ได้รับรายงานว่าพบปัญหาในการตรวจโรคจากสำนักงานควบคุมโรคสัตว์และสัตว์จริง,แปลอังกฤษเป็นภาษาไทย
"A truck driver was found by police in Khao Kho, Sisaket, after crashing into a pedestrian, backed up, and forwarded over the victim, who later died ",ตำรวจ สภ ขุขันธ์ จ ศรีสะเกษ ตามตัวคนขับกระบะเจอแล้ว หลังขับรถทับคนเจ็บบนถนน ก่อนถอยหลัง เดินหน้าทับซ้ำจนต่อมาเสียชีวิต เจ้าตัวอ้างลงมาดูแล้วไม่เห็น,แปลอังกฤษเป็นภาษาไทย
"A truck driver was found by police in Khao Kho, Sisaket, after crashing into a pedestrian, backed up, and forwarded over the victim, who later died ",ตำรวจที่สถานีตำรวจขุขันธ์ในจังหวัดศรีสะเกษ ได้ไปตามตัวขับรถกระบะที่เกิดเหตุที่มีการชนคนเจ็บบนถนน แต่เจ้าตัวไม่สามารถสังเกตได้ว่ามีคนเจ็บอยู่หรือเปล่า,แปลอังกฤษเป็นภาษาไทย
"A spokesman for the Attorney General's Office, speaking on condition of anonymity, said if the evidence is sufficient, the plaintiff will be prosecuted  If it is not, then the police will continue to investigate  The public reaction and social media comments are not a factor in the pro",รองโฆษกอัยการสูงสุด ออกมาพูดเรื่อง หวย 30 ล้าน เผยหากพยานหลักฐานเพียงพอ ก็จะสั่งฟ้องผู้ต้องหา หากไม่พอก็ให้ตำรวจไปสอบสวนเพิ่ม ไม่ได้ยึดกระแสสังคม หรือความเห็นของโลกโซเชียล ,แปลอังกฤษเป็นภาษาไทย
"A spokesman for the Attorney General's Office, speaking on condition of anonymity, said if the evidence is sufficient, the plaintiff will be prosecuted  If it is not, then the police will continue to investigate  The public reaction and social media comments are not a factor in the pro",รองโฆษกอัยการสูงสุด ออกมาพูดถึงเรื่องของการจับฉลากหวยจำนวนเงิน 30 ล้านบาท ให้รับรองถ้ามีพยานและหลักฐานที่เพียงพอก็จะสั่งให้ส่งฟ้องผู้ต้องหา แต่ถ้าไม่เพียงพอก็ให้ตำรวจไปสอบสวนเพิ่มเติม และไม่ใช้ข้อมูลจากสื่อสังคมหรือความคิดเห็นของโลกโซเชียล,แปลอังกฤษเป็นภาษาไทย
"On 22nd September, it is the 16th month of the 2014 coup d'etat, led by Gen  Prayut Chan och, which overthrew the Yingluck Shinawatra led government in 2015 ",เมื่อวันที่ 22 ก ย  ที่ผ่านมาเป็นวันครบรอบ 16 เดือน ของการรัฐประหาร คสช  นำโดย พล อ ประยุทธ์ จันทร์โอชา ซึ่งทำการเข้ายึดอำนาจการปกครองเมื่อวันที 22 พ ค  2557 และหลังจากที่ สปช ,แปลอังกฤษเป็นภาษาไทย
"On 22nd September, it is the 16th month of the 2014 coup d'etat, led by Gen  Prayut Chan och, which overthrew the Yingluck Shinawatra led government in 2015 ",ทำการเผยแพร่ว่า คสช  ได้รับการสนับสนุนจากประชาชนในระยะเวลา 16 เดือน ตั้งแต่เหตุการณ์รัฐประหารเกิดขึ้นในวันที่ 22 พ ค  2557 โดยการรัฐประหารได้ถูกนำโดย พล อ ประยุทธ์ จันทร์โอชา,แปลอังกฤษเป็นภาษาไทย
"Senior official mourns the death of Ayutthaya Paliphat, who passed away early this morning at the age of 81 ",ปลัดเชื้อ โพสต์แสดงความอาลัยต่อ อ อัษฎางค์ ปาณิกบุตร ถึงแก่กรรมช่วงเช้าวันนี้ ในวัยย่าง 81 ปี,แปลอังกฤษเป็นภาษาไทย
"Senior official mourns the death of Ayutthaya Paliphat, who passed away early this morning at the age of 81 ",ปลัดเชื้อแสดงความเสียใจอย่างยิ่งกับการเสียชีวิตของอ อัษฎางค์ ปาณิกบุตรที่เสียชีวิตในวัย 81 ปีในเช้าวันนี้,แปลอังกฤษเป็นภาษาไทย
"Get free recipes for BBQ Wraps, a tasty, easy to make appetizer that's perfect for the whole family  If you're ready to get in the kitchen, watch the video to learn how to make it ",แจกสูตรฟรี เบคอนม้วน เมนูกินเล่นง่ายๆ อร่อยดีไม่มีเบื่อ ชวนเข้าครัวมาทำเบคอนม้วน กินกับน้ำจิ้มแซ่บสุดเด็ด ใครก็ทำได้ที่บ้าน ถ้าพร้อมแล้วมาดูวิธีทำกันเลย,แปลอังกฤษเป็นภาษาไทย
"Get free recipes for BBQ Wraps, a tasty, easy to make appetizer that's perfect for the whole family  If you're ready to get in the kitchen, watch the video to learn how to make it ",แจกสูตรฟรีของเบคอนม้วนที่ง่ายๆ และอร่อยไม่เบื่อ ชวนชาวบ้านมาร่วมทำเบคอนม้วน แล้วมาดูวิธีทำกันเลยค่ะ,แปลอังกฤษเป็นภาษาไทย
The fire was extinguished completely  There is no flame and no smoke  The factory is back to normal  No impact on the community ,จนท ดับเพลิง สามารถดับไฟที่ไหม้กองใบอ้อยที่ข้างโรงงานน้ำตาลมิตรกาฬสินธุ์ ได้แล้ว 100% ไม่มีเปลวและควันไฟแล้ว กลับเข้าสู่ภาวะปกติ โดยฝุ่นควันไฟไม่ได้กระทบชุมชน ส่วนโรงงานเปิดตามปกติ,แปลอังกฤษเป็นภาษาไทย
The fire was extinguished completely  There is no flame and no smoke  The factory is back to normal  No impact on the community ,มูลนิธิดับเพลิงสามารถที่จะดับเพลิงที่ไหม้กองใบอ้อยที่ข้างโรงงานน้ำตาลมิตรกาฬสินธุ์ได้อย่างสมบูรณ์ 100% และไม่มีควันไฟชักนำเข้าสู่สภาวะปกติ โดยที่ฝุ่นควันไฟไม่ได้กระทบส่วนของชุมชนและโรงงานทำงานได้ตามปกติ,แปลอังกฤษเป็นภาษาไทย
A young man from Pattanakarn was in a truck carrying a mattress  R T C  was the driver  He was on his way to deliver it to a friend ,หนุ่มเบญจเพสที่พัทลุง ติดไปกับรถกระบะบรรทุกที่นอน มี ร ต ท เป็นคนขับจะไปส่งให้เพื่อน พอไปถึงที่หมาย ตกใจ ไม่เจอทั้งที่นอนและหนุ่มที่นั่งไปด้วย รีบวกกลับมาตามหา เจอเป็นศพตกลงมาหัวฟาดพื้นถนนตายคาที่ ,แปลอังกฤษเป็นภาษาไทย
A young man from Pattanakarn was in a truck carrying a mattress  R T C  was the driver  He was on his way to deliver it to a friend ,หนุ่มเบญจเพสที่พัทลุงได้ติดเข้าไปในรถกระบะบรรทุกที่นอน โดยมีรายลงทะเบียนเป็น ร ต ท  ที่ได้เป็นคนขับรถเพื่อนที่จะไปส่งให้ เมื่อถึงที่หมายแล้ว หนุ่มจึงตกใจเพราะไม่พบทั้งที่นอนและเพื่อนที่ไปด้วย จึงรีบกลับมาอีกครั้งทันทีเพื่อที่จะไปหา เมื่อไปถึงก็พบว่าเป็นศพที่ตกลงมาซึ่งถูกฟาดหัวพื้นถนนแล้วตายคาที่,แปลอังกฤษเป็นภาษาไทย
"Pro democracy rally still going strong  3 finger salute, mobile phones light up  A symbol to chase out the government  Attack on the defense budget, the military and the hunger problem  The protests end at midnight",ชุมนุมกลุ่ม ประชาชนปลดแอก ยังคึกคัก ชู 3 นิ้ว เปิดไฟโทรศัพท์มือถือ เป็นสัญลักษณ์ ไล่รัฐบาล โจมตีปมงบฯ กลาโหมและปัญหาปากท้อง ยุติชุมนุมเที่ยงคืนวันนี้ ,แปลอังกฤษเป็นภาษาไทย
"Pro democracy rally still going strong  3 finger salute, mobile phones light up  A symbol to chase out the government  Attack on the defense budget, the military and the hunger problem  The protests end at midnight",ชุมนุมกลุ่มประชาชนปลดแอกหยุดไม่เคยหยุดระชดระช้อง ปล่อยมือจับ3 นิ้วเพื่อสัญลักษณ์การจัดกิจกรรมประท้วงและโจมตีงบประมาณที่บริหารรัฐธรรมนูญต่อเนื่อง และก็ยุติการชุมนุมที่เที่ยงคืนในวันนี้,แปลอังกฤษเป็นภาษาไทย
"Social Democrat Party filed a motion to the National Council for Peace and Order (NCPO) to further investigate the rice pledging project, as the Ministry of Commerce has not been able to clearly explain the loss ", พรรคสังคมประชาธิปไตยไทยยื่นหนังสือให้คณะกรรมการป้องกันและปราบปรามการทุจริตแห่งชาติ ตรวจสอบเพิ่มเติมการดำเนินโครงการรับจำนำข้าว หลังจากที่กระทรวงพาณิชย์ไม่สามารถชี้แจงตัวเลขขาดทุนที่ชัดเจนได้,แปลอังกฤษเป็นภาษาไทย
"Social Democrat Party filed a motion to the National Council for Peace and Order (NCPO) to further investigate the rice pledging project, as the Ministry of Commerce has not been able to clearly explain the loss ","พรรคสังคมประชาธิปไตยไทยพยามส่งหนังสือให้คณะกรรมการป้องกันและปราบปรามการทุจริตแห่งชาติตรวจสอบเพิ่มเติมเกี่ยวกับการดำเนินการโครงการรับจำนำข้าว, เพราะกระทรวงพาณิชย์ไม่สามารถอธิบายอย่างชัดเจนเกี่ยวกับข้อมูลที่แสดงให้เห็นถึงขาดทุนได้อย่างแน่นอน",แปลอังกฤษเป็นภาษาไทย
"MTC 1 back to the room, the staff set up the 4 way shot, M D  insisted that there is no editing  Jatuporn believes that the snack can be eaten  Gov  Charnwat urges the head of the ruling junta to take the lead  Ongkhan pushes the government to be in full power to solve the urgent economic problems ",มท 1 ปิดห้องถกลับ ขรก วางแนวยิง 4 คำถามนายกฯ รอง ปลัด มท ยันไม่มีตัดต่อแต่งเติม จาตุรนต์ ฟันธงเชื่อขนมกินได้ ผวจ ชี้นำเอาใจหัวหน้า คสช  องอาจ จี้รัฐบาลอำนาจเต็มมือเร่งแก้ปัญหาเศรษฐกิจปากท้องจะดีกว่า,แปลอังกฤษเป็นภาษาไทย
"MTC 1 back to the room, the staff set up the 4 way shot, M D  insisted that there is no editing  Jatuporn believes that the snack can be eaten  Gov  Charnwat urges the head of the ruling junta to take the lead  Ongkhan pushes the government to be in full power to solve the urgent economic problems ",มหาวิทยาลัยหนึ่งปิดห้องปรึกษาครู กระทรวงการคลังทำแบบสอบถามมีคำถามของนายกผู้อำนวยการ รองผู้อำนวยการ มหาวิทยาลัยยืนยันว่าไม่มีการตัดต่อหรือเพิ่มเติมจากกระทรวงการคลัง อธิบดีจาตุรนต์สัญญาว่าจะให้พัฒนาเร่งด่วนเพื่ออำนาจของรัฐบาลในการแก้ไขปัญหาเศรษฐกิจในช่วงเวลาที่ยังไม่มีคำตอบใช้กับปากท้องที่ดีกว่า,แปลอังกฤษเป็นภาษาไทย
EC is preparing to submit a K M  to remove a candidate from the list of eligible candidates if he or she violates the law before the election  Lt  Gen  Prayut has advised the NAC and the House of Representatives to open a window for a person who has been disqualified to file a new lawsuit after there is evidence that the person is a victim of election fraud  The EC Polic,กกต เตรียมชงร่าง ก ม เลือกตั้ง ให้ถอดชื่อผู้สมัครทันที ถ้าทำผิดก่อน ลต  แนะ กรธ  สนช เปิดช่องให้ผู้ถูกเพิกถอนเลือกตั้งต่อสู้คดีใหม่ หลังมีหลักฐานว่าเป็นแพะในคดีทุจริตเลือกตั้ง ด้าน ปธ กกต  ชี้ 10 ธ ค 60 ยังไม่ใช่วันเลือกตั้ง ,แปลอังกฤษเป็นภาษาไทย
EC is preparing to submit a K M  to remove a candidate from the list of eligible candidates if he or she violates the law before the election  Lt  Gen  Prayut has advised the NAC and the House of Representatives to open a window for a person who has been disqualified to file a new lawsuit after there is evidence that the person is a victim of election fraud  The EC Polic,สำรองราคา กรมที่ดิน ก ม เตรียมร่างแบบใหม่ เนื่องตามข้อผิดพลาดเกี่ยวกับการจัดเลือกตั้งนั้นถ้าผู้สมัครทำผิดกฎหมายก่อน กระทรวงมหาดไทย Royal สภ กุ้ง้ายเปิดโอกาสสำหรับผู้ที่ถูกเพิกถอนมาเลือกตั้งต่อสู้คดีใหม่ หลังจากมีรายละเอียดอันหลุดเหลือบเสาะแสงในคดีทุจริตการเลือกตั้ง ในที่ของการเลือกตั้งของกกตฐาน จธ  กกต  ชี้ให้เห็นว่าตรงกลุ่มใดวันที่ 10 ธันวาคม 2560 ยังไม่ใช่ตามกำหนดวันเลือกตั้ง,แปลอังกฤษเป็นภาษาไทย
"Oscar, the Brazilian midfielder of Chelsea, is set to leave the London stadium to join Shanghai SIPG for a staggering 52 million pounds ",ออสการ์ กองกลางชาวแซมบ้าของ สิงโตน้ำเงิน เชลซี เตรียมย้ายออกจากถ้ำไปโซ้ยบะหมี่แดนมังกรกับทาง เซี่ยงไฮ้ เอสไอพีจี ค่าตัวสุดโหด 52 ล้านปอนด์,แปลอังกฤษเป็นภาษาไทย
"Oscar, the Brazilian midfielder of Chelsea, is set to leave the London stadium to join Shanghai SIPG for a staggering 52 million pounds ","ออสการ์, กองกลางชาวแซมบ้าของ สิงโตน้ำเงิน เชลซี, กำลังเตรียมจะย้ายออกจากถ้ำในสิงโตน้ำเงินไปยังเมืองโซ้ยบะหมี่ของประเทศมังกรกับทางจีน เซี่ยงไฮ้ เอสไอพีจี โดยมีค่าตัวสูงสุดถึง 52 ล้านปอนด์",แปลอังกฤษเป็นภาษาไทย
The IT take you to get to know the sound of the Elite Sport headphones  For runners  Wire free  But with waterproof technology ,แกะกล่อง IT พาคุณไปทำความรู้จัก Jabra Elite Sport หูฟังบลูทูธเพื่อคนชอบวิ่ง ไร้สายแต่มาพร้อมเทคโนโลยีและคุณสมบัติกันน้ำ…,แปลอังกฤษเป็นภาษาไทย
The IT take you to get to know the sound of the Elite Sport headphones  For runners  Wire free  But with waterproof technology ,แกะกล่อง IT เพื่อคุณให้ได้รู้จักกับ Jabra Elite Sport หูฟังบลูทูธที่เหมาะสำหรับคนที่ชอบวิ่ง ไม่เสียสายอีกต่อไป และมาพร้อมกับเทคโนโลยีและคุณสมบัติสามารถกันน้ำได้อีกด้วย,แปลอังกฤษเป็นภาษาไทย
"As a result, SET index on 6th of December 2019 closed at 1,557 99, down 6 6 4, with total 41 14 billion Baht in trading value  Foreign investors' net selloff was at 1,664 1 7 million B","ดัชนีหุ้นไทยวันที่ 6 ธ ค 62 ปิดที่ 1,558 99 จุด ลดลง 6 46 จุด มี มูลค่าการซื้อขาย 41,141 76 ล้านบาท ต่างชาติขายสุทธิ 1,614 51 ล้านบาท",แปลอังกฤษเป็นภาษาไทย
"As a result, SET index on 6th of December 2019 closed at 1,557 99, down 6 6 4, with total 41 14 billion Baht in trading value  Foreign investors' net selloff was at 1,664 1 7 million B","การป้อนค่านี้ลงในโปรแกรมปรับปรุงภาษาไทย
ดัชนีหุ้นไทยวันที่ 6 ธันวาคม 2562 ปิดที่ 1,558 99 จุด ลดลง 6 46 จุด มียอดซื้อขายทั้งหมด 41,141 76 ล้านบาท ค่าขายสุทธิของต่างชาติ 1,614 51 ล้านบาท",แปลอังกฤษเป็นภาษาไทย
Acting head of the Ecumenical Council of Thailand (ECT) has announced that all monks and novices in the congregation are to wear a white robe in honour of His Majesty the late King B,รักษาการเจ้าคณะใหญ่ คณะธรรมยุต ประกาศให้พระสงฆ์ สามเณร ในสังกัด เปลี่ยนสีจีวรเป็นสีพระราชนิยม เพื่อสนองพระราชศรัทธาพระบาทสมเด็จพระเจ้าอยู่หัว ตั้งแต่วันที่ 13 พฤษภาคม 2557 15 ก พ ,แปลอังกฤษเป็นภาษาไทย
Acting head of the Ecumenical Council of Thailand (ECT) has announced that all monks and novices in the congregation are to wear a white robe in honour of His Majesty the late King B,คณะธรรมยุตย์ได้ประกาศให้พระสงฆ์และสามเณรที่เป็นสมาชิกของมูลนิธินี้เปลี่ยนสีจีวรเป็นสีพระราชนิยมเพื่อเชื่อฟังและยอมรับพระราชศรัทธาพระบาทสมเด็จพระเจ้าอยู่หัวตั้งแต่วันที่ 13 พฤษภาคม 2557 15 กุมภาพันธ์,แปลอังกฤษเป็นภาษาไทย
The Yala community in Samut Prakan has a 40 year old road project  Dissolve P S C  MP Mr  Thirakit S E A L  is delighted to join the P9 Panpwipa Foundation ,ชาวชุมชนโยธินพัฒนา เทศบาลเมืองปู่เจ้าสมิงพราย จ สมุทรปราการ ได้ถนนเข้าชุมชนใหม่ หลังรอคอยมากว่า 40 ปี ด้าน ฐาปกรณ์ ส ส พื้นที่ ปลื้มจับมือกลุ่มสิงโต ปนป 9 สถาบันพระปกเกล้า,แปลอังกฤษเป็นภาษาไทย
The Yala community in Samut Prakan has a 40 year old road project  Dissolve P S C  MP Mr  Thirakit S E A L  is delighted to join the P9 Panpwipa Foundation ,ชาวชุมชนโยธินพัฒนาในเทศบาลเมืองปู่เจ้าสมิงพราย จังหวัดสมุทรปราการ ได้สร้างถนนเข้าชุมชนใหม่ หลังรอคอยมากว่า 40 ปี ด้านฐาปกรณ์ ส ส พื้นที่ ปลื้มจับมือกับกลุ่มสิงโต ปนกับสถาบันพระปกเกล้า परिवर्तन,แปลอังกฤษเป็นภาษาไทย
"The victims were tricked into advertising the products on social media  They filed a complaint with the DSI, claiming that they had not been paid the agreed upon wages ",ผู้เสียหายถูกหลอกให้โฆษณาสินค้าผ่านสื่อสังคมออนไลน์ เข้าร้องเรียนดีเอสไอ หลังถูกว่าจ้างแล้วไม่ได้รับค่าตอบแทนตามที่ตกลงไว้,แปลอังกฤษเป็นภาษาไทย
"The victims were tricked into advertising the products on social media  They filed a complaint with the DSI, claiming that they had not been paid the agreed upon wages ",ผู้ได้รับความเสียหายถูกหลอกให้โฆษณาสินค้าผ่านสื่อสังคมออนไลน์ จำเป็นต้องส่งเรื่องร้องเรียนดีเอสไอ เพราะได้รับคำสั่งจ้างแล้วไม่ได้รับค่าตอบแทนตามที่ตกลงล่วงหน้า,แปลอังกฤษเป็นภาษาไทย
Got it  No asterisks  We're all set  It's launch time  Should be epic  Meme,ชัดเจนแล้ว ไม่ต้องแอ๊บ ได้เวลาเปิดตัวกันแล้ว น่าจะยิ่งใหญ่อลังการทะลุจอ มีมี่ ,แปลอังกฤษเป็นภาษาไทย
Got it  No asterisks  We're all set  It's launch time  Should be epic  Meme,มั่นใจแล้ว ไม่ต้องกังวล ถึงเวลาเปิดการเผยแพร่แล้ว คงจะเป็นเรื่องใหญ่ที่น่าตื่นเต้นมาก,แปลอังกฤษเป็นภาษาไทย
"Athena Chu after the strawberry girl scandal, and not refunding the deposit  She said that she was the one who was canceled, as the owner wanted to focus on the product  And I have heard her mum on phone and refuned the money ",เอสเธอร์ แจงหลังมีรายการแฉนางเอกสตรอเบอร์รี่เบี้ยวอีเวนต์ และไม่คืนเงินค่ามัดจำ บอกตนเป็นฝ่ายที่ถูกแคนเซิลเพราะทางเจ้าของอยากให้โฟกัสที่สินค้า และได้ยินคุณแม่คุยโทรศัพท์และคืนเงินแล้ว ลั่นต่างคนต่างรู้อยู่แก่ใจดี ,แปลอังกฤษเป็นภาษาไทย
"Athena Chu after the strawberry girl scandal, and not refunding the deposit  She said that she was the one who was canceled, as the owner wanted to focus on the product  And I have heard her mum on phone and refuned the money ",ในรายการมีเงื่อนไขเอ็มอีโว้ท์ที่นางเอกสตรอเบอร์รี แจงหลัง โดยไม่ได้คืนเงินมัดจำ และเขายังชี้ให้เห็นว่าตนเองเป็นฝ่ายที่ได้รับความเสียหายจากผู้ค้าเพราะเจ้าของร้านต้องการให้ใจเธอใส่ไว้กับสินค้าและได้ยินจากคุณแม่ผ่านทางโทรศัพท์และได้รับการคืนเงินแล้ว ดังนั้นทุกคนทราบแล้วว่าใจดี,แปลอังกฤษเป็นภาษาไทย
The Department of Air Quality Management on Wednesday reported 22 areas in Bangkok and its suburbs with PM2 5 levels exceeding,กรมควบคุมมลพิษ รายงานสถานการณ์ ฝุ่น PM 2 5 ในพื้นที่ กรุงเทพฯ ปริมณฑล เช้าวันนี้ พบเกินมาตรฐาน 22 พื้นที่ ริมถนนดินแดง สูงสุด เตือนใส่หน้ากากป้องกัน หลีกเลี่ยงการออกกำลังกายกลางแจ้ง,แปลอังกฤษเป็นภาษาไทย
The Department of Air Quality Management on Wednesday reported 22 areas in Bangkok and its suburbs with PM2 5 levels exceeding,กรมควบคุมมลพิษรายงานว่าในกรุงเทพฯ ปริมณฑลวันนี้ตอนเช้ามีฝุ่น PM 2 5 เกินเกณฑ์มาตรฐานในพื้นที่ทั้งหมด 22 พื้นที่ปากทางสูงสุดอยู่ที่ถนนดินแดง ดังนั้นเราขอเตือนให้ใส่หน้ากากป้องกัน และหลีกเลี่ยงการออกกำลังกายกลางแจ้ง,แปลอังกฤษเป็นภาษาไทย
